Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0201,3,2u2,
"C4, C6",0201,2,100n,
C5,0201,1,22u,
"C5X, C6X",0805,2,C,
"D1, D2, D3",0201,3,LED,
F1,0201,1,Polyfuse,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x18_P2.00mm_Vertical,2,Conn_01x18_Pin,
J5,PinHeader_1x04_P1.00mm_Vertical,1,Conn_01x04_Pin,
J6,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Conn_01x02_Pin,
Q1,SOT-23,1,AO3401A,
"R1, R2",0201,2,33 R,
"R1X, R2X",0805,2,R,
"R3, R4",0201,2,50K,
R5,0603,1,100R,
"R6, R7, R8",0201,3,1K,
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,
U2,TSOT-23-6,1,AP63203WU,
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
